x,origin,n_10,n_100,n_1000,n_10000
-1.83,0.0747662623983676,0.049449399654539476,0.03813947480363463,0.08312229904832462,0.07300823201660027
-1.8199999999999998,0.07614327369620735,0.050748844613289865,0.03904930604034479,0.08456406613285733,0.07435659526598107
-1.81,0.07753789199013399,0.052074723083155645,0.03997622694612412,0.08602257941778177,0.07572233889545704
-1.7999999999999998,0.07895015830089418,0.053427327804948875,0.04092042666701184,0.08749784519792954,0.07710550833519135
-1.79,0.08038010905615417,0.05480694711646046,0.041882092773944744,0.08898986500888274,0.07850614460750727
-1.7799999999999998,0.08182777599214285,0.056213864665081326,0.042861411137940834,0.09049863554476192,0.07992428422992977
-1.77,0.08329318605587446,0.05764835911649897,0.04385856580333406,0.09202414857695232,0.0813599591187174
-1.7599999999999998,0.08477636130802226,0.05911070385963094,0.04487373885910494,0.09356639087383198,0.08281319649295354
-1.75,0.08627731882651153,0.06060116670796347,0.045907110308351054,0.09512534412156487,0.0842840187792627
-1.7399999999999998,0.08779607061090566,0.062120009597473165,0.04695885793594702,0.0967009848460238,0.08577244351722219
-1.73,0.089332623487655,0.06366748828131559,0.04802915717444336,0.09829328433590627,0.08727848326553696
-1.7199999999999998,0.0908869790162829,0.06524385202147578,0.04911818096825881,0.09990220856710931,0.08880214550904927
-1.71,0.09245913339658068,0.06684934327757967,0.050226099636221495,0.10152771812842613,0.09034343256665146
-1.6999999999999997,0.09404907737688697,0.06848419739307814,0.05135308073251753,0.10316976814863182,0.09190234150017597
-1.69,0.09565679616352402,0.07014864227901811,0.05249928890610856,0.10482830822502073,0.09347886402433148
-1.6800000000000002,0.09728226933146747,0.07184289809562885,0.05366488575868244,0.10650328235346322,0.09507298641775981
-1.67,0.09892547073632371,0.07356717693195394,0.05485002970120283,0.1081946288600444,0.09668468943528515
-1.6600000000000001,0.10058636842769055,0.07532168248377012,0.05605487580912735,0.10990228033435198,0.09831394822142862
-1.65,0.10226492456397804,0.07710660973004275,0.057279575676366566,0.11162616356447763,0.09996073222526328
-1.6400000000000001,0.10396109532876419,0.07892214460817126,0.05852427726805692,0.11336619947379616,0.1016250051166812
-1.63,0.10567483084876363,0.08076846368829,0.05978912477222637,0.11512230305958873,0.10330672470414885
-1.62,0.1074060751134838,0.08264573384689283,0.06107425845043045,0.11689438333357277,0.10500584285402323
-1.6099999999999999,0.1091547658966474,0.08455411194006146,0.06237981448744321,0.11868234326440519,0.10672230541150549
-1.6,0.11092083467945554,0.08649374447657861,0.06370592484008508,0.12048607972222004,0.10845605212330378
-1.5899999999999999,0.1127042065757706,0.08846476729122137,0.06505271708527781,0.12230548342526733,0.11020701656208316
-1.58,0.11450480025929236,0.0904673052185278,0.06642031426741359,0.12414043888871255,0.11197512605277346
-1.5699999999999998,0.11632252789280711,0.09250147176734563,0.06780883474513327,0.1259908243756633,0.11376030160081356
-1.56,0.11815729505958227,0.09456736879646889,0.06921839203760545,0.1278565118504812,0.11556245782240289
-1.5499999999999998,0.12000900069698565,0.09666508619168247,0.07064909467040657,0.12973736693444402,0.11738150287683682
-1.54,0.12187753703240178,0.098794701544533,0.0721010460210988,0.1316332488638159,0.119217338400998
-1.5299999999999998,0.12376278952152316,0.10095627983315623,0.07357434416460981,0.13354401045038786,0.12106985944607873
-1.52,0.12566463678908815,0.10314987310549058,0.07506908171851609,0.13546949804454608,0.12293895441660554
-1.5099999999999998,0.12758295057214192,0.10537552016521684,0.07658534568833895,0.1374095515009279,0.12482450501184145
-1.5,0.12951759566589174,0.10763324626076202,0.07812321731295847,0.13936400414672143,0.12672638616963425
-1.4899999999999998,0.13146842987223106,0.10992306277771799,0.07968277191025894,0.14133268275266703,0.1286444660127866
-1.48,0.1334353039510023,0.11224496693501988,0.08126407872311611,0.14331540750681418,0.1305786057980143
-1.4699999999999998,0.13541806157407132,0.1145989414852419,0.08286720076584247,0.1453119919910906,0.13252865986756748
-1.46,0.13741653928228179,0.11698495441936387,0.08449219467120564,0.1473222431607338,0.13449447560357936
-1.4499999999999997,0.1394305664453603,0.11940295867637102,0.08613911053814001,0.14934596132664102,0.13647589338521557
-1.44,0.14145996522483878,0.12185289185804596,0.08780799178026956,0.15138294014068404,0.13847274654868705
-1.4300000000000002,0.14350455054006236,0.12433467594932049,0.08949887497536604,0.15343296658404304,0.1404848613501979
-1.42,0.1455641300373476,0.12684821704454993,0.09121178971586447,0.15549582095860356,0.1425120569318884
-1.4100000000000001,0.14763850406235568,0.12939340508007882,0.09294675846056057,0.15757127688146602,0.14455414529084187
-1.4,0.14972746563574488,0.13197011357346702,0.09470379638761893,0.15965910128261254,0.14661093125121655
-1.3900000000000001,0.15183080043216163,0.13457819936974236,0.09648291124901673,0.1617590544057735,0.14868221243956345
-1.38,0.15394828676263372,0.1372175023950513,0.09828410322655451,0.16387088981253897,0.15076777926339352
-1.37,0.15607969556042084,0.13988784541807323,0.10010736478956238,0.16599435438975144,0.1528674148930491
-1.3599999999999999,0.15822479037038306,0.14258903381956947,0.1019526805544352,0.16812918836022375,0.1549808952469419
-1.35,0.1603833273419196,0.14532085537042858,0.10382002714612593,0.1702751252968141,0.15710798898020914
-1.3399999999999999,0.16255505522553418,0.1480830800185775,0.1057093730617339,0.17243189213989854,0.15924845747684616
-1.33,0.1647397153730768,0.15087545968511623,0.10762067853631858,0.17459920921826988,0.16140205484536466
-1.3199999999999998,0.16693704174171387,0.1536977280700397,0.10955389541107632,0.17677679027349893,0.16356852791803106
-1.31,0.16914676090167238,0.15654960046789976,0.1115089670040122,0.1789643424877839,0.1657476162537309
-1.2999999999999998,0.1713685920478074,0.15943077359376293,0.11348582798324561,0.18116156651531873,0.16793905214450972
-1.29,0.173602247015033,0.16234092541981018,0.11548440424308262,0.1833681565172039,0.17014256062583277
-1.2799999999999998,0.17584743029766242,0.16527971502292538,0.11750461278299308,0.18558380019992524,0.17235785949061033
-1.27,0.1781038390726936,0.16824678244360772,0.11954636158962692,0.1878081788574198,0.17458465930702594
-1.2599999999999998,0.18037116322708038,0.17124174855654567,0.12160954952200745,0.190040967416751,0.17682266344021114
-1.25,0.18264908538902191,0.17426421495317512,0.12369406620003497,0.19228183448740732,0.17907156807779995
-1.2399999999999998,0.18493728096330536,0.17731376383654637,0.12579979189643878,0.194530442414242,0.18133106225940085
-1.23,0.18723541817072956,0.18038995792880907,0.12792659743231036,0.19678644733406375,0.18360082791001617
-1.2199999999999998,0.1895431580916403,0.18349234039162515,0.13007434407635343,0.1990494992358916,0.18588053987744202
-1.21,0.19186015471359938,0.18662043475980283,0.13224288344798346,0.20131924202487875,0.18816986597367313
-1.1999999999999997,0.19418605498321304,0.18977374488844476,0.13443205742441117,0.20359531358991384,0.19046846702034154
-1.19,0.19652049886213654,0.1929517549138861,0.1366416980518387,0.20587734587490017,0.19277599689820812
-1.1800000000000002,0.19886311938727586,0.19615392922869646,0.13887162746090279,0.20816496495371592,0.19509210260073126
-1.17,0.2012135427351974,0.19937971247100256,0.1411216577864913,0.2104577911088515,0.19741642429172704
-1.1600000000000001,0.20357138829075938,0.20262852952838187,0.14339159109206187,0.21275543891372042,0.19974859536713682
-1.15,0.20593626871997478,0.20589978555656802,0.14568121929859038,0.21505751731863817,0.20208824252091653
-1.1400000000000001,0.2083077900471083,0.2091928660131896,0.1479903241182712,0.21736362974045645,0.2044349858150537
-1.13,0.21068555173601533,0.21250713670676316,0.15031867699309454,0.21967337415584523,0.20678843875372283
-1.12,0.21306914677571784,0.2158419438611373,0.15266603903841922,0.2219863431982029,0.20914820836157952
-1.1099999999999999,0.21545816177021973,0.21919661419558156,0.15503216099166264,0.22430212425818266,0.21151389526619785
-1.1,0.21785217703255053,0.22257045502069267,0.15741678316621968,0.22662029958781002,0.21388509378464582
-1.0899999999999999,0.22025076668303334,0.22596275435028415,0.1598196354107294,0.22894044640817401,0.21626139201419833
-1.08,0.22265349875176113,0.22937278102940262,0.16224043707379662,0.23126213702066273,0.21864237192717542
-1.0699999999999998,0.2250599352852697,0.2327997848786112,0.1646788969742802,0.23358493892171805,0.22102760946989983
-1.06,0.2274696324573859,0.23624299685465022,0.16713471337725036,0.23590841492107853,0.223416674665756
-1.0499999999999998,0.2298821406842331,0.23970162922758742,0.16960757397572154,0.23823212326347643,0.22580913172233794
-1.04,0.2322970047433662,0.24317487577453756,0.17209715587825658,0.24055561775375442,0.22820453914266295
-1.0299999999999998,0.23471376389701187,0.24666191199002954,0.17460312560254154,0.242878447885363,0.23060244984043127
-1.02,0.2371319520193796,0.25016189531307087,0.17712513907502114,0.24520015897219657,0.23300241125930324
-1.0099999999999998,0.2395510977280134,0.2536739653709536,0.17966284163668741,0.2475202922837268,0.23540396549616843
-1,0.24197072451914337,0.25719724423981777,0.1822158680551029,0.24983838518338375,0.23780664942837068
-0.9899999999999998,0.24439035090699962,0.26073083672198366,0.18478384254274458,0.2521539712701388,0.24020999484485858
-0.98,0.24680949056704274,0.2642738306400324,0.18736637878174214,0.2544665805232349,0.242613528581219
-0.9699999999999998,0.249227652483066,0.2678252971476126,0.18996307995508793,0.25677573945001275,0.2450167726585565
-0.96,0.2516443410981171,0.27138429105691714,0.19257353878438416,0.25908097123677265,0.24741924442616975
-0.9499999999999997,0.2540590564691891,0.27494985118276977,0.19519733757419683,0.2613817959026162,0.24982045670798247
-0.94,0.25647129442562033,0.2785210007032321,0.19783404826307222,0.2636777304562022,0.25221991795267396
-0.9299999999999997,0.2588805467311489,0.2820967475366329,0.20048323248127634,0.26596828905535624,0.25461713238745876
-0.9199999999999999,0.26128630124955315,0.28567608473489164,0.20314444161530532,0.26825298316946217,0.25701160017545677
-0.9100000000000001,0.26368804211381813,0.28925799089300475,0.20581721687921534,0.27053132174457084,0.2594028175765955
-0.8999999999999999,0.26608524989875487,0.2928414305745272,0.20850108939281262,0.27280281137115026,0.2617902771119805
-0.8900000000000001,0.26847740179700236,0.29642535475287723,0.2111955802667401,0.27506695645440477,0.2641734677316684
-0.8799999999999999,0.27086397179833804,0.30000870126826795,0.21390020069449334,0.2773232593870868,0.2665518749857754
-0.8700000000000001,0.2732444308722162,0.30359039530004733,0.21661445205138932,0.2795712207247201,0.2689249811988465
-0.8599999999999999,0.2756182471534567,0.30716934985421696,0.21933782600051316,0.2818103393631561,0.2712922656474137
-0.8500000000000001,0.2779848861309964,0.31074446626587404,0.2220698046056529,0.28404011271837615,0.27365320474066307
-0.8399999999999999,0.2803438108396206,0.31431463471630866,0.2248098604512378,0.28626003690845814,0.27600727220413307
-0.8300000000000001,0.28269448205458025,0.317878734764463,0.22755745676927977,0.288469606937615,0.2783539392663572
-0.8199999999999998,0.28503635848900727,0.32143563589244983,0.23031204757332144,0.2906683168822193,0.28069267484836885
-0.81,0.2873688969940283,0.32498419806479867,0.23307307779937866,0.2928556600787183,0.2830229457559761
-0.7999999999999998,0.2896915527614828,0.32852327230109046,0.23583998345387028,0.2950311293133483,0.2853442168747179
-0.79,0.2920037795291414,0.33205170126161493,0.2386121917685118,0.29719421701354926,0.2876559513674042
-0.7799999999999998,0.2943050297883252,0.335568319845675,0.24138912136215235,0.2993444154409855,0.28995761087414734
-0.77,0.2965947549938157,0.339071955802137,0.2441701824095217,0.30148121688606877,0.2922486557147812
-0.7599999999999998,0.29887240577595287,0.34256143035181763,0.24695477681685368,0.30360411386388564,0.29452854509357
-0.75,0.30113743215480443,0.3460355588212722,0.24974229840434045,0.3057125993114238,0.2967967373060996
-0.7399999999999998,0.3033892837563002,0.3494931512875421,0.25253213309537337,0.3078061667859938,0.29905268994824735
-0.73,0.3056274100302099,0.35293301323339316,0.25532365911251165,0.30988431066473915,0.3012958601271192
-0.7199999999999998,0.307851260469853,0.35635394621257127,0.25811624718012216,0.3119465263451274,0.3035257046738455
-0.71,0.31006028483341613,0.3597547485245766,0.2609092607336206,0.3139923104463129,0.30574168035812044
-0.6999999999999997,0.3122539333667614,0.36313421589845235,0.26370205613524417,0.3160211610112615,0.30794324410437074
-0.69,0.31443165702759734,0.36649114218505946,0.2664939828962741,0.3180325777095226,0.3101298532094357
-0.6799999999999997,0.3165929077108929,0.3698243200573057,0.2692843839056259,0.3200260620405404,0.31230096556164094
-0.6699999999999999,0.3187371384754016,0.37313254171777405,0.27207259566471365,0.32200111753738514,0.3144560398611427
-0.6600000000000001,0.32086380377117246,0.37641459961319107,0.2748579485284939,0.3239572499707935,0.3165945358414219
-0.6499999999999999,0.3229723596679143,0.3796692871551565,0.2776397669525839,0.3258939675533991,0.31871591449180237
-0.6400000000000001,0.3250622640840821,0.382895399446548,0.2804173697463456,0.32781078114403805,0.32081963828086724
-0.6299999999999999,0.32713297701655447,0.3860917340130047,0.2831900703318223,0.32970720445201157,0.3229051713806473
-0.6200000000000001,0.3291839607707648,0.38925709153887617,0.285957177008403,0.33158275424118633,0.32497197989145027
-0.6099999999999999,0.33121468019115297,0.3923902766070237,0.28871799322309216,0.3334369505338161,0.3270195320672034
-0.6000000000000001,0.33322460289179967,0.39549009844184013,0.2914718178462479,0.33526931681396177,0.3290472985411755
-0.5899999999999999,0.33521319948710615,0.3985553716548568,0.2942179454526541,0.33707938023039347,0.33105475255194766
-0.5800000000000001,0.33717994382238053,0.40158491699228915,0.2969556666077784,0.33886667179885227,0.33304137016949825
-0.5699999999999998,0.33912431320419223,0.40457756208387335,0.2996842681590705,0.34063072660355215,0.3350066305212684
-0.56,0.34104578863035256,0.4075321421923318,0.30240303353214165,0.3423710839978012,0.33695001601807145
-0.5499999999999998,0.3429438550193839,0.4104475009628079,0.30511124303166837,0.34408728780362247,0.33887101257971264
-0.54,0.34481800143933333,0.4133224911715981,0.3078081741468506,0.3457788865102522,0.34076910986017944
-0.5299999999999998,0.34666772133579166,0.41615597547351063,0.3104931018612569,0.3474454334713971,0.34264380147226925
-0.52,0.34849251275897447,0.4189468271471735,0.3131652989668775,0.3490864871011289,0.3444945852115122
-0.5099999999999998,0.3502918785897259,0.4216939308376137,0.3158240363822066,0.3507016110682971,0.346320963279257
-0.5,0.3520653267642995,0.4243961832954253,0.3184685834741641,0.35229037448934053,0.34812244250477614
-0.48999999999999977,0.3538123704977797,0.4270524941118468,0.32109820838367126,0.3538523521193784,0.3498985345662573
-0.48,0.3555325285059971,0.42966178644906344,0.3237121783546787,0.35538712454146254,0.3516487562105394
-0.46999999999999975,0.35722532522580086,0.43222299776505463,0.32630976006645274,0.3568942783538746,0.3533726294714584
-0.45999999999999996,0.35889029103354464,0.4347350805323045,0.3288902199689112,0.3583734063553482,0.3550696818866621
-0.44999999999999973,0.360526962461648,0.4371970029497,0.3314528246208037,0.3598241077281044,0.3567394467127607
-0.43999999999999995,0.3621348824130922,0.4396077496469383,0.33399684103052163,0.36124598821858117,0.3583814631386724
-0.4299999999999997,0.3637136003737135,0.4419663223807756,0.3365215369993239,0.36263866031574665,0.35999527649703106
-0.41999999999999993,0.3652626726221539,0.4442717407224475,0.3390261814667565,0.364001743426881,0.3615804384735182
-0.41000000000000014,0.3667816624373361,0.44652304273560317,0.3415100448580448,0.3653348640507166,0.36313650731398706
-0.3999999999999999,0.3682701403033234,0.4487192856440949,0.3439723994332301,0.3666376559478258,0.36466304802924304
-0.3900000000000001,0.3697276841114323,0.450859546488978,0.34641251963782127,0.36790976030814815,0.3661596325973485
-0.3799999999999999,0.37115387935946603,0.4529429227740799,0.3488296824547305,0.3691508259155493,0.36762584016332145
-0.3700000000000001,0.3725483193479334,0.45496853309950663,0.35122316775725493,0.3703605093093069,0.3690612572360963
-0.3599999999999999,0.3739106053731284,0.45693551778246744,0.35359225866286875,0.3715384749424182,0.37046547788261935
-0.3500000000000001,0.3752403469169379,0.4588430394648015,0.3559362418875844,0.37268439533662895,0.3718381039189501
-0.33999999999999986,0.376537161833254,0.460690283706612,0.35825440810064074,0.37379795123408205,0.37317874509824445
-0.33000000000000007,0.3778006765308646,0.4624764595654131,0.36054605227927383,0.3748788317454886,0.37448701929549355
-0.31999999999999984,0.3790305261527017,0.46420080016021864,0.36281047406332523,0.3759267344947242,0.37576255268889786
-0.31000000000000005,0.38022635475132494,0.465862563220006,0.36504697810943837,0.37694136575975756,0.37700497993775506
-0.2999999999999998,0.38138781546052414,0.4674610316160087,0.3672548744445975,0.37792244060981867,0.3782139443567433
-0.29000000000000004,0.38251457066292405,0.46899551387730204,0.3694334788187557,0.37886968303871654,0.379389098086484
-0.2799999999999998,0.3836062921534786,0.4704653446891643,0.37158211305630506,0.37978282609422065,0.3805301022602699
-0.27,0.3846626612987428,0.47186988537370905,0.3737001054061346,0.3806616120034196,0.381636627166846
-0.2599999999999998,0.3856833691918161,0.4732085243523058,0.3757867908900275,0.38150579229397563,0.38270835240913514
-0.25,0.38666811680284924,0.4744806775893156,0.37784151164914304,0.3823151279111949,0.3837449670588001
-0.23999999999999977,0.38761661512501416,0.47568578901669634,0.37986361728833495,0.3830893893308358,0.38474616980653864
-0.22999999999999998,0.3885285853158359,0.47682333093904083,0.381852465218051,0.38382835666758186,0.38571166910800897
-0.21999999999999975,0.38940375883379047,0.4778928044186386,0.38380742099356785,0.3845318197791063,0.38664118332528824
-0.20999999999999996,0.3902418775700743,0.4788937396401649,0.3857278586513066,0.3851995783656601,0.38753444086376626
-0.19999999999999973,0.39104269397545594,0.4798256962546265,0.38761316104198495,0.38583144206511755,0.3883911803043827
